energy_densityc2,pressurec2,baryon_density
2175.1934582073,0.0007007688,2189.4476339017
2225.7444819597,0.0007303268,2240.3530532001
2277.4722879878,0.0007610795,2292.4420412096
2330.4042634689,0.0007930743,2345.7421163145
2384.5684315576,0.0008263608,2400.2814367111
2439.9934660913,0.0008609902,2456.0888152837
2496.7087066364,0.0008970161,2513.1937348261
2554.7441738774,0.000934494,2571.6263636172
2614.1305853619,0.000973482,2631.4175713592
2674.8993716055,0.0010140402,2692.5989454854
2737.0826925676,0.0010562316,2755.2028078477
2800.7134545052,0.0011001213,2819.2622317928
2865.8253272127,0.0011457775,2884.8110596339
2932.4527616589,0.0011932709,2951.8839205297
3000.6310080274,0.0012426754,3020.5162487792
3070.3961341713,0.0012940676,3090.7443025407
3141.7850444913,0.0013475278,3162.6051829879
3214.8354992463,0.001403139,3236.1368539091
3289.5861343074,0.0014609883,3311.3781617644
3366.0764813639,0.001521166,3388.3688562072
3444.3469885927,0.0015837663,3467.1496110844
3524.4390418017,0.0016488875,3547.762045924
3606.3949860568,0.0017166319,3630.2487479225
3690.2581478046,0.0017871062,3714.6532944433
3776.0728575015,0.0018604215,3801.020276039
3863.8844727617,0.0019366937,3889.3953200079
3953.7394020331,0.0020160436,3979.8251144988
4045.6851288172,0.0020985974,4072.3574331763
4139.7702364417,0.0021844863,4167.0411604594
4236.0444333999,0.0022738473,4263.9263173467
4334.5585792703,0.0023668234,4363.0640878424
4435.3647112276,0.0024635638,4464.5068459967
4538.516071161,0.0025642238,4568.3081835748
4644.0671334117,0.0026689658,4674.5229383689
4752.0736331433,0.0027779593,4783.207223169
4862.5925953622,0.0028913808,4894.4184554069
4975.6823645986,0.0030094149,5008.21538749
5091.4026352671,0.0031322541,5124.6581378391
5209.8144827188,0.0032600995,5243.8082226498
5330.9803950033,0.003393161,5365.7285883901
5454.9643053549,0.0035316579,5490.4836450556
5581.8316254196,0.0036758189,5618.1393001966
5711.6492792404,0.0038258833,5748.762993737
5844.4857380176,0.0039821008,5882.4237336022
5980.4110556607,0.0041447324,6019.1921321761
6119.4969051514,0.0043140509,6159.1404436049
6261.8166157349,0.0044903411,6302.3426019688
6407.4452109583,0.004673901,6448.8742603414
6556.4594475754,0.0048650419,6598.8128307563
6708.9378553371,0.0050640893,6752.237525104
6864.960777688,0.0052713835,6909.2293969787
7024.6104133892,0.0054872804,7069.8713844993
7187.9708590871,0.0057121523,7234.2483541246
7355.1281528521,0.0059463884,7402.4471454879
7526.1703187064,0.0061903961,7574.5566172746
7701.1874121644,0.0064446016,7750.6676941653
7880.2715668079,0.0067094507,7930.8734148708
8063.517041921,0.0069854102,8115.2689812847
8251.020271205,0.0072729686,8303.9518087774
8442.8799126021,0.0075726374,8497.0215776608
8639.196899249,0.0078849519,8694.5802858487
8840.0744915876,0.0082104729,8896.7323027418
9045.6183306586,0.0085497876,9103.5844243656
